num_actions: 5
observation_space: (4, 240, 64)
Using device: cuda
conv_output_size: 8320
conv_output_size: 8320
Starting training for 3000 episodes...
Observation shape: (4, 240, 64)
Starting at Level 0: {'vehicles_count': 5, 'vehicles_density': 0.5}
Epsilon: 1.0 -> 0.02 (decay: 0.99)
Ep 330/3000 | Lv: 0 (330/200) | Reward: 148.5 | Crash: 37% | Speed: 27.6 | Len: 74 | Eps: 0.036 | Loss: 0.3698 | 3.86s/ep | 14.1m
Ep 340/3000 | Lv: 0 (340/200) | Reward: 152.4 | Crash: 37% | Speed: 27.6 | Len: 79 | Eps: 0.033 | Loss: 0.3001 | 3.99s/ep | 14.8m
Ep 350/3000 | Lv: 0 (350/200) | Reward: 188.2 | Crash: 33% | Speed: 27.8 | Len: 89 | Eps: 0.030 | Loss: 0.3239 | 4.82s/ep | 15.6m
Ep 360/3000 | Lv: 0 (360/200) | Reward: 146.6 | Crash: 33% | Speed: 27.7 | Len: 76 | Eps: 0.027 | Loss: 0.3107 | 3.82s/ep | 16.2m
Ep 370/3000 | Lv: 0 (370/200) | Reward: 133.0 | Crash: 34% | Speed: 27.9 | Len: 67 | Eps: 0.024 | Loss: 0.3377 | 3.52s/ep | 16.8m
Ep 380/3000 | Lv: 0 (380/200) | Reward: 201.9 | Crash: 32% | Speed: 28.0 | Len: 92 | Eps: 0.022 | Loss: 0.3013 | 4.95s/ep | 17.6m
Ep 390/3000 | Lv: 0 (390/200) | Reward: 161.3 | Crash: 32% | Speed: 28.1 | Len: 76 | Eps: 0.020 | Loss: 0.3466 | 3.87s/ep | 18.3m
Ep 400/3000 | Lv: 0 (400/200) | Reward: 159.3 | Crash: 31% | Speed: 28.3 | Len: 76 | Eps: 0.020 | Loss: 0.3697 | 4.06s/ep | 19.0m
Ep 410/3000 | Lv: 0 (410/200) | Reward: 201.5 | Crash: 28% | Speed: 28.4 | Len: 91 | Eps: 0.020 | Loss: 0.3272 | 4.66s/ep | 19.7m
Ep 420/3000 | Lv: 0 (420/200) | Reward: 156.0 | Crash: 27% | Speed: 28.5 | Len: 76 | Eps: 0.020 | Loss: 0.3286 | 4.05s/ep | 20.4m
Ep 430/3000 | Lv: 0 (430/200) | Reward: 103.3 | Crash: 29% | Speed: 28.5 | Len: 58 | Eps: 0.020 | Loss: 0.3791 | 3.06s/ep | 20.9m
Ep 440/3000 | Lv: 0 (440/200) | Reward: 197.9 | Crash: 27% | Speed: 28.7 | Len: 91 | Eps: 0.020 | Loss: 0.3487 | 4.95s/ep | 21.8m
Ep 450/3000 | Lv: 0 (450/200) | Reward: 173.2 | Crash: 27% | Speed: 28.8 | Len: 82 | Eps: 0.020 | Loss: 0.3664 | 4.24s/ep | 22.5m
Ep 460/3000 | Lv: 0 (460/200) | Reward: 199.2 | Crash: 24% | Speed: 28.9 | Len: 93 | Eps: 0.020 | Loss: 0.3799 | 4.83s/ep | 23.3m
Ep 470/3000 | Lv: 0 (470/200) | Reward: 154.9 | Crash: 23% | Speed: 28.9 | Len: 76 | Eps: 0.020 | Loss: 0.4581 | 4.11s/ep | 24.0m
Ep 480/3000 | Lv: 0 (480/200) | Reward: 165.7 | Crash: 24% | Speed: 28.8 | Len: 82 | Eps: 0.020 | Loss: 0.4411 | 4.43s/ep | 24.7m
Ep 490/3000 | Lv: 0 (490/200) | Reward: 171.1 | Crash: 23% | Speed: 28.8 | Len: 83 | Eps: 0.020 | Loss: 0.3723 | 4.30s/ep | 25.4m
Ep 500/3000 | Lv: 0 (500/200) | Reward: 196.1 | Crash: 21% | Speed: 28.8 | Len: 92 | Eps: 0.020 | Loss: 0.4926 | 5.01s/ep | 26.2m
Ep 510/3000 | Lv: 0 (510/200) | Reward: 132.6 | Crash: 24% | Speed: 28.7 | Len: 72 | Eps: 0.020 | Loss: 0.4043 | 3.64s/ep | 26.8m
Ep 520/3000 | Lv: 0 (520/200) | Reward: 170.8 | Crash: 23% | Speed: 28.6 | Len: 83 | Eps: 0.020 | Loss: 0.4893 | 4.49s/ep | 27.6m
Ep 530/3000 | Lv: 0 (530/200) | Reward: 187.6 | Crash: 20% | Speed: 28.7 | Len: 86 | Eps: 0.020 | Loss: 0.4605 | 4.44s/ep | 28.3m
Ep 540/3000 | Lv: 0 (540/200) | Reward: 183.5 | Crash: 21% | Speed: 28.6 | Len: 86 | Eps: 0.020 | Loss: 0.5772 | 4.67s/ep | 29.1m
Ep 550/3000 | Lv: 0 (550/200) | Reward: 150.3 | Crash: 22% | Speed: 28.6 | Len: 76 | Eps: 0.020 | Loss: 0.4586 | 3.90s/ep | 29.8m
Ep 560/3000 | Lv: 0 (560/200) | Reward: 189.2 | Crash: 22% | Speed: 28.6 | Len: 91 | Eps: 0.020 | Loss: 0.4456 | 4.98s/ep | 30.6m
Ep 570/3000 | Lv: 0 (570/200) | Reward: 197.1 | Crash: 20% | Speed: 28.5 | Len: 92 | Eps: 0.020 | Loss: 0.5568 | 4.80s/ep | 31.4m
Ep 580/3000 | Lv: 0 (580/200) | Reward: 180.4 | Crash: 20% | Speed: 28.6 | Len: 86 | Eps: 0.020 | Loss: 0.5177 | 4.75s/ep | 32.2m
Ep 590/3000 | Lv: 0 (590/200) | Reward: 168.5 | Crash: 20% | Speed: 28.6 | Len: 82 | Eps: 0.020 | Loss: 0.6190 | 4.29s/ep | 32.9m
Ep 600/3000 | Lv: 0 (600/200) | Reward: 124.8 | Crash: 23% | Speed: 28.5 | Len: 66 | Eps: 0.020 | Loss: 0.6062 | 3.56s/ep | 33.5m
Ep 610/3000 | Lv: 0 (610/200) | Reward: 222.3 | Crash: 19% | Speed: 28.6 | Len: 100 | Eps: 0.020 | Loss: 0.5209 | 5.29s/ep | 34.4m
Ep 620/3000 | Lv: 0 (620/200) | Reward: 190.9 | Crash: 18% | Speed: 28.6 | Len: 92 | Eps: 0.020 | Loss: 0.5848 | 5.05s/ep | 35.2m
Ep 630/3000 | Lv: 0 (630/200) | Reward: 188.7 | Crash: 17% | Speed: 28.5 | Len: 92 | Eps: 0.020 | Loss: 0.6156 | 4.88s/ep | 36.0m
Ep 640/3000 | Lv: 0 (640/200) | Reward: 216.4 | Crash: 15% | Speed: 28.6 | Len: 100 | Eps: 0.020 | Loss: 0.5933 | 5.48s/ep | 36.9m

============================================================
LEVEL UP! Now at Level 1: {'vehicles_count': 10, 'vehicles_density': 0.75}
Previous stats: Crash rate 15.0%, Speed 28.5
New epsilon: 0.5 -> 0.02
Buffer size: 43599
